Face Height,Face Height 2,Face Width,Face Width 2,Orbits Intercanthal Width,Orbits Fissure Length(left),Orbits Fissure Length(right),Orbits Biocular Width,Nose Height,Nose Width,Labio-oral region,Intercanthal Face Height,eye fissure height (left),eye fissure height (right),orbit and brow height (right),orbit and brow height (left),Columella Length,Upper Lip Height,Lower Vermilion Height,Philtrum Width,lateral upper lip heights (left),lateral upper lip heights (left),Lower Face Height,Upper Vermilion Height,Image Name,lateral upper lip heights (right),Facial index,Mandibular index,Intercanthal index,Orbital width index (left and right),Eye fissure index (left and right),Nasal index,Vermilion height index,Mouth-face width index,edge_of_similarity_average,face_smoothness,left_side_smoothness,right_side_smoothness,Average_ITA
491.29420920666263,262.76224995230956,525.1609277164476,368.4901626909462,149.00335566691106,103.12128781197411,96.42095207992918,252.03174403237384,229.01964981197574,132.06059215375342,251.07170290576354,277.46170906991836,29.068883707497267,29.068883707497267,82.37718130647589,86.09297300012354,35.6931365951495,107.44766167767449,135.66502865514016,157.07959765672945,78.39005038906404,78.39005038906404,266.48076853686837,265.7084868798887,63.jpg,81.00617260431454,0.5003461531208656,0.7231692878606547,0.591208683806796,1.3391795037017098,0.2913556921406171,0.5766343292471832,1.9585628626174427,0.47808526806724994,0.8930000066757202,0.9923178780348428,0.9911146111438134,0.9930856087965132,-2.2304782699724757
462.73102338183463,241.6278129686233,528.500709554869,372.46476343407306,151.0,96.51942809610924,108.37435120913067,247.2023462671825,222.00900882621858,116.01724009818541,216.0208323287363,299.66648127543397,31.144823004794873,32.2490309931942,102.12247548899312,97.41663102366043,41.10960958218893,146.75149062275312,143.10835055998655,132.03408650799233,77.89736837660179,77.89736837660179,264.2820463065927,225.7432169523594,823.jpg,73.05477397131553,0.45719486956249294,0.7095491231706031,0.6108356262800007,1.3569124457300654,0.3093986270005214,0.5225789742118074,1.5774286830154953,0.4087427479722409,0.8878999948501587,0.9927246930643066,0.9938397656745783,0.9918011242922107,-8.097713573370813
497.00905424348156,285.00175438056516,548.0447062056161,408.09925263347395,161.0,103.07764064044152,107.07474025184464,264.030301291348,212.00943375236866,127.0,268.00746258266764,305.0,23.021728866442675,23.0,98.18350166906862,97.18538984847466,51.03920062069938,150.88074761214565,153.39491516996253,166.0,73.35529974037323,73.35529974037323,290.06206232459976,263.62283664356545,189.jpg,72.89718787443039,0.5200337694232519,0.7107635224833727,0.6097784959247623,1.3052942912564356,0.2189921840097123,0.5990299476406252,1.7185891484829838,0.4890248177711916,0.8937000036239624,0.9933936538872495,0.9931954616838193,0.9934978059156534,-5.519676784632772
519.0,316.00158227451965,570.1482263411858,422.3837118071671,157.00318468107582,104.23531071570709,101.00495037373169,261.1225765804252,203.00246303924493,144.03124660989366,314.02547667346994,300.1666203960727,21.095023109728988,21.0,100.4987562112089,102.0196059588548,52.009614495783374,161.40012391568973,178.932948335403,202.00247523235947,67.95586803212802,67.95586803212802,300.32648900821255,299.3008519867593,77.jpg,68.79680225126747,0.5542446116203811,0.711027628701085,0.6012623907788348,1.307236292730928,0.2051011964528002,0.7095049215341254,1.672698375403345,0.5507786609960479,0.8776000142097473,0.99486512222148,0.9953279303883145,0.9945630649003647,0.9519131425331767
506.0247029543123,279.00716836669267,596.5668445363017,433.5585312273304,156.00320509528,108.16653826391968,100.17983829094555,264.04734423962685,227.1079038695043,152.0526224699857,303.0412513173743,295.70255325241953,20.024984394500787,20.024984394500787,104.12012293500234,106.1178590059185,47.38143096192854,143.95138068111746,170.3202865192517,190.04210059878838,68.60029154456998,68.60029154456998,306.27601930285044,288.00868042473996,837.jpg,69.63476143421474,0.4676880234327451,0.7064236942491599,0.5908152780120554,1.335526256833097,0.19222781529130625,0.6695170880417918,1.6909828318788418,0.5079753494395446,0.8853999972343445,0.9920666074098431,0.9917896932089741,0.9920435143235204,-17.10175770362283
439.73287345842135,232.64780248263682,505.0247518686584,356.3593691766782,143.01398533010678,97.51410154434076,107.67079455451233,240.13329631685815,208.0384579831335,104.00480758118829,186.00268815261785,296.2043213729334,39.11521443121589,38.3275357934736,86.97700845625813,86.14522621712709,43.01162633521314,134.6142637315972,116.61903789690601,115.00434774390054,72.47068372797375,72.47068372797375,254.33245958783948,189.1718795170149,638.jpg,69.57010852370435,0.4606661388809344,0.7136965703341586,0.5955608302706946,1.434719098452103,0.37742909783856343,0.4999306791132838,1.6221354842958602,0.3683041028472036,0.8917999863624573,0.9939904656265705,0.9934284038063543,0.994696507686225,0.669384020148093
500.0639959045242,325.0,533.4135356362829,391.28761799985443,153.0,95.0,99.0,248.0,175.18276170902203,148.03040228277433,300.00166666203705,286.9233347080715,14.0,14.035668847618199,106.23088063270491,105.17128885774862,58.077534382926416,170.0,181.10770276274835,194.0025773024678,65.19202405202648,65.19202405202648,281.1440911703463,296.1840643923977,604.jpg,67.80117993073571,0.6092833763813725,0.718510063281509,0.6169354838709677,1.2679738562091503,0.14451375694648555,0.8450055293034615,1.6354029114951547,0.5624185488734923,0.8984000086784363,0.9892065168804879,0.9903687169421685,0.9882329390863803,-4.852269270710773
507.1419919509722,303.4765229799498,523.7489856792088,391.07671881614226,142.00352108310554,89.00561780022652,97.0051545022222,231.00865784641059,204.0612653102004,104.00480758118829,208.0,324.7845439672276,31.0,31.016124838541646,98.08159868191383,94.89467845985885,62.80127387243033,159.80613254815975,125.2836781069266,132.0,90.13878188659973,90.13878188659973,278.71849597757233,233.52944139872386,162.jpg,89.28605714219886,0.5794312376307421,0.7126951888655045,0.6147108182305384,1.3099025353997282,0.3334007169095832,0.5096744226450183,1.8640053112059187,0.3971368073014236,0.8949000239372253,0.9917377739034395,0.9924163601191897,0.9909720368599404,9.894755737982367
445.00449435932666,249.00803199896987,543.0036832287605,394.0,153.00326793895613,103.4842983258813,101.49384217774002,256.1581542719263,196.0,121.0,260.00192306981114,273.90509305231984,26.076809620810597,25.179356624028344,108.0,106.00471687618433,47.0,139.1402170474087,154.3502510525979,161.00310556011024,56.302753041036986,56.302753041036986,272.0018382290826,242.7447218787671,176.jpg,56.302753041036986,0.45857521724040684,0.6903599955052857,0.5973000093392871,1.3396977938105326,0.2500567432161548,0.6173469387755102,1.5726875740295818,0.4788216564643,0.871999979019165,0.9953624582333589,0.9957033632054331,0.9950725680806422,-10.001705350385343
474.06750574153466,270.14995835646545,529.0085065478626,406.0012315252258,146.01369798755184,103.04368005850722,104.12012293500234,249.0020080240318,204.00245096566854,107.0,203.0,316.3700365078842,32.0,31.064449134018133,111.0,112.04017136723775,60.03332407921454,144.04513181638595,111.68258592994702,125.00399993600205,76.69419795525604,76.69419795525604,290.0017241328058,203.78910667648555,88.jpg,76.89603370785778,0.5106722387497626,0.7142877942595288,0.5863956646223499,1.4187970433511723,0.3044182826475431,0.5245035022545242,1.8247169420334912,0.3837367405010403,0.8907999992370605,0.9929073487024297,0.9921716405662967,0.9934619916352233,-37.646558970156605
