Image Name,Head Height,Face Height,Face Height 2,Face Height 3,Face Width,Face Width 2,Orbits Intercanthal Width,Orbits Fissure Length(left and right),Orbits Biocular Width,Nose Height,Nose Width,Labio-oral region,Intercanthal Face Height,eye fissure height (left and right),orbit and brow height (left and right),Columella Length,Upper Lip Height,Lower Vermilion Height,Philtrum Width,lateral upper lip heights (left and right),Lower Face Height,Upper Vermilion Height,edge_of_similarity_average,Average_ITA
1.jpg,220.00454540758926,702.4101366011171,483.0093166803307,269.0167281044062,542.0036900243392,394.0,142.01408380861386,238.10291892372928,333.0375354220602,214.0,111.00450441310929,211.00236965494014,330.34678748248785,47.634021455258214,84.00595217006948,48.010415536631214,75.0,602.9568807137041,131.00381673829202,91.39474820797966,194.02319448973105,562.406436663024,0.9004999995231628,-13.133783618622095
10.jpg,241.0020746798666,720.9500676191105,481.0374205818088,286.00174824640493,558.3233829959122,400.4996878900157,148.00337833982033,246.00203251192866,350.0014285685131,195.0640920313116,128.03515142334936,240.00833318866242,284.8876971720611,44.82186966202994,117.15374513859982,57.14017850864661,100.0199980003999,574.9608682336564,152.0131573252789,88.60022573334675,186.00268815261785,500.5856570058715,0.9121999740600586,-16.664755818373994
100.jpg,254.32656172724074,738.2533440493175,486.00411520891464,276.181100005051,574.4649684706632,387.9188059375312,147.0136048126159,243.46252278328177,350.11569516375584,210.34257771549724,125.09996003196804,280.3016232560918,314.3119469571591,44.41846462902562,101.07917688624102,47.80167361086848,101.24228365658294,636.4471698420851,179.17868176767013,70.49113419430843,175.025712396779,536.1212549414545,0.902899980545044,-17.924057567921068
1000.jpg,243.03291958086666,735.359775892046,492.36673323854853,282.10990766011747,569.4251487245712,394.55544604022384,150.0133327407934,250.0719896349849,340.00588230205665,211.0852908186641,117.0,222.0,376.31104156003715,49.20365840057018,101.07917688624102,50.695167422546305,89.67719888578144,648.9260358469214,140.00357138301865,91.21403400793103,192.50974001333023,597.0468993303625,0.8953999876976013,20.193266302335168
101.jpg,230.05434140654683,674.6673254278734,445.0719043031137,251.04979585731593,542.0590373750815,380.06446821559103,153.00326793895613,252.1983346495373,352.0,194.02319448973105,130.01538370516005,278.0017985553331,325.9831283977746,42.190046219457976,90.0499861188218,43.01162633521314,87.00574693662483,596.9396954467009,171.00292395160966,70.71067811865476,164.04877323527901,522.8632708462127,0.9045000076293945,-13.502211776855123
102.jpg,251.87695408671274,738.6095044067603,487.08315511830216,290.1103238424996,555.0324314848638,398.0113063720678,145.00344823486094,246.0995733437992,346.0057802985378,197.00253805471644,110.0,224.0557966221807,321.2740263388872,52.49761899362675,114.35471131527551,57.0,103.04368005850722,612.0008169929188,140.0142849854971,93.96275858019496,187.06683297688022,541.6982554891607,0.8932999968528748,3.292349365952614
103.jpg,243.34748817277733,687.0181948100064,444.07206622349037,253.03161857759991,514.1643706053542,356.14042174400817,147.0136048126159,253.07113624433742,357.03501228871096,191.04188022525324,102.00490184299969,225.03555274667156,323.9891973507759,53.907327887774215,111.16204388189342,45.0111097397076,92.00543462209176,601.5064421932653,140.0142849854971,73.7360156233031,161.02794788483146,524.5378918629235,0.9017000198364258,-15.973590966893793
104.jpg,230.8679276123039,668.0905627233482,438.092455995307,244.07375934335914,548.0,374.0481252459368,150.0133327407934,253.07113624433742,359.03481725314606,194.02319448973105,126.00396819148197,245.0081631293129,319.10499839394555,46.61544808322666,94.64142856064674,42.1070065428546,86.00581375697809,589.4438056337517,155.00322577288512,71.11961754677819,158.07909412695912,519.2494583531118,0.8962000012397766,-10.380383289456804
105.jpg,265.5899094468764,774.5062943578961,511.0792502146805,299.80827206733306,582.4448471743913,403.6297808636028,150.11995203836165,251.9622987670973,364.3514786576281,212.3982109152523,120.20399327809372,270.266535109325,327.04892600343453,50.47771785649585,111.11255554616679,54.12947441089743,119.33985084622823,673.5235704858443,173.18487231857176,85.0,180.46883387443938,559.5721579921575,0.896399974822998,-1.683177597870325
106.jpg,223.03587155433092,694.0259361147824,471.0042462653601,303.014851121195,565.4281563558716,409.9573148511928,153.11760186209813,261.1225765804252,357.3583635512117,168.07438829280326,113.01769772916099,269.02973813316623,316.56436944166666,44.654227123532216,116.0,70.57619995437555,111.04053313993049,568.000880281008,169.04733065032408,83.21658488546619,192.0,481.0623660192096,0.8712999820709229,-8.703104689094173
